,question,answer_aliases,answers,answers_norm,aliases_norm
204,In which country is the deepwater port of Trondheim?,"['Norvège' 'Mainland Norway' 'Norway' 'Norvege' 'Noregur' 'NORWAY'
 'Norwegian state' 'Etymology of Norway' 'Noruega' 'Norwegen'
 'ISO 3166-1:NO' 'Noreg' 'Republic of Norway' 'Norwegian kingdom'
 'Kongeriket Noreg' 'Name of Norway' 'Kongeriket Norge' 'Noorwegen'
 'Kingdom of Norway' 'Sport in Norway' 'Norwegia'
 'Royal Kingdom of Norway']",Norway,norway,"['norvège', 'mainland norway', 'norway', 'norvege', 'noregur', 'norway', 'norwegian state', 'etymology of norway', 'noruega', 'norwegen', 'iso 31661no', 'noreg', 'republic of norway', 'norwegian kingdom', 'kongeriket noreg', 'name of norway', 'kongeriket norge', 'noorwegen', 'kingdom of norway', 'sport in norway', 'norwegia', 'royal kingdom of norway']"
205,In which state is Camp David?,"['Education in Maryland' 'The Old Line State' 'Murder Land'
 'Geography of Maryland' 'Mary Land' 'Maryland' 'Economy of Maryland'
 'Transport in Maryland' 'Old Line State' 'Maryland, USA'
 'Maryland, United States' 'Maryland gross state product' 'MarylanD'
 'Maryland (state)' 'Mariland' 'Seventh State' 'MD, USA' 'Murda Land'
 'Maryland (U.S. state)' 'Climate of Maryland' 'US-MD'
 'Demographics of Maryland' 'Transportation in Maryland'
 'Religion in Maryland' 'Maralind' '7th State' 'State of Maryland']",Maryland,maryland,"['education in maryland', 'the old line state', 'murder land', 'geography of maryland', 'mary land', 'maryland', 'economy of maryland', 'transport in maryland', 'old line state', 'maryland usa', 'maryland united states', 'maryland gross state product', 'maryland', 'maryland state', 'mariland', 'seventh state', 'md usa', 'murda land', 'maryland us state', 'climate of maryland', 'usmd', 'demographics of maryland', 'transportation in maryland', 'religion in maryland', 'maralind', '7th state', 'state of maryland']"
206,What was the Statue of Liberty originally called?,"['Liberty, Statue of' 'Statue of liberty' 'Fort Wood National Monument'
 'Staute of Liberty' 'Statue of Liberty' 'Azadliq Statue'
 'Freiheitsstatue' 'Liberty Enlightening the World'
 'Statue of Liberty, USA' 'Statue Of Liberty'
 'Liberty enlightening the world' 'Statue Liberty' 'Mother of Exiles'
 'The Statue of Liberty' 'Frederick R. Law' '🗽' 'The Liberty Statue'
 'Free woman']",Liberty Enlightening the World,liberty enlightening the world,"['liberty statue of', 'statue of liberty', 'fort wood national monument', 'staute of liberty', 'statue of liberty', 'azadliq statue', 'freiheitsstatue', 'liberty enlightening the world', 'statue of liberty usa', 'statue of liberty', 'liberty enlightening the world', 'statue liberty', 'mother of exiles', 'the statue of liberty', 'frederick r law', '', 'the liberty statue', 'free woman']"
207,Who sang the Bond theme form From Russia With Love?,"['Fred Flange' 'Matt Monroe' 'Matt Munro' 'Matt Monro' 'Matt Munroe'
 'Terence Edward Parsons']",Matt Monro,matt monro,"['fred flange', 'matt monroe', 'matt munro', 'matt monro', 'matt munroe', 'terence edward parsons']"
208,Which company was responsible for the oil spill in New York harbor in 1990?,"['Standard Oil New Jersey' 'Exxon Company' 'Exxon' 'Jersey Standard'
 'EXXon' 'Exxon Research and Engineering Company' 'Esso Petroleum'
 'Standard Oil Company of New Jersey' 'Exxon Company USA']",Exxon,exxon,"['standard oil new jersey', 'exxon company', 'exxon', 'jersey standard', 'exxon', 'exxon research and engineering company', 'esso petroleum', 'standard oil company of new jersey', 'exxon company usa']"
209,In which country was Arnold Schwarzenegger born?,"['The Republic of Austria' 'Oesterreich' 'Eastreach' 'Österrike'
 'Easterrealm' 'Austurriki' 'Republik Österreich' 'Osterreich'
 'Austurríki' 'Austrian Republic' 'Republik Osterreich' 'Avstria'
 'Österreich' 'Republik Oesterreich' 'Administrative divisions of Austria'
 'Ostria' 'ISO 3166-1:AT' 'Alpine Deutschen' 'Austria' 'Oostenrijk'
 'Architecture of Austria' 'Republic of Austria' 'Etymology of Austria'
 'Autriche' 'Austrian architecture']",Austria,austria,"['the republic of austria', 'oesterreich', 'eastreach', 'österrike', 'easterrealm', 'austurriki', 'republik österreich', 'osterreich', 'austurríki', 'austrian republic', 'republik osterreich', 'avstria', 'österreich', 'republik oesterreich', 'administrative divisions of austria', 'ostria', 'iso 31661at', 'alpine deutschen', 'austria', 'oostenrijk', 'architecture of austria', 'republic of austria', 'etymology of austria', 'autriche', 'austrian architecture']"
210,Who had an 80s No 1 with Don't You Want Me?,"['The Human League' 'The League Unlimited Orchestra' 'The Dead Daughters'
 'The Future (band)' 'League unlimited orchestra' 'Human League']",Human League,human league,"['the human league', 'the league unlimited orchestra', 'the dead daughters', 'the future band', 'league unlimited orchestra', 'human league']"
211,Which star of Hannah And Her Sisters has a child called Free?,"['Barbara Hershey' 'Barbara seagull' 'Barbara Lynn Herzstein'
 'Barbara Seagull']",Barbara Hershey,barbara hershey,"['barbara hershey', 'barbara seagull', 'barbara lynn herzstein', 'barbara seagull']"
212,Who had 70s hits with Have You Seen Her and Oh Girl?,"['ChiLites' 'Marshall Thompson (Chi-Lites)' 'The Chi-Lites'
 'The Chi Lites' 'Marshall D. Thompson' 'Chi-lites' 'Chi Lites'
 'Chi-Lites']",Chi-Lites,chilites,"['chilites', 'marshall thompson chilites', 'the chilites', 'the chi lites', 'marshall d thompson', 'chilites', 'chi lites', 'chilites']"
213,In which decade of the 20th century was Father's Day first celebrated?,"['1910s' '1910s (decade)' 'Nineteen-tens' '1910s literature' '1910–1919'
 '1910-1919' ""Music in the 1910's"" 'Nineteen tens' ""1910's""]",1910s,1910s,"['1910s', '1910s decade', 'nineteentens', '1910s literature', '19101919', '19101919', 'music in the 1910s', 'nineteen tens', '1910s']"
214,"""What was the name of the """"girl with kaleidoscope eyes"""" in a Beatles song?""",['Lucy Lucia' 'Lucy' 'LUCY'],Lucy,lucy,"['lucy lucia', 'lucy', 'lucy']"
215,Will Rogers airport was built in which US state?,"['Okla.' 'Oklahoma' 'Oklahoma, United States' 'Sooner State'
 'Forty-Sixth State' 'Religion in Oklahoma' 'Culture of Oklahoma'
 '46th State' 'Oklahoma (U.S. state)' 'Oklahoma, USA' 'State of Oklahoma'
 'List of Oklahoma State Symbols' 'Oaklahoma' 'Oklaholma'
 'Transportation in Oklahoma' 'US-OK' 'Sports in Oklahoma' 'Okla'
 'Oklahoman' 'Oclahoma' 'Education in Oklahoma' 'Energy in Oklahoma'
 'Transport in Oklahoma' 'Forty-sixth State' 'Oklahoma (state)'
 'The Sooner State']",Oklahoma,oklahoma,"['okla', 'oklahoma', 'oklahoma united states', 'sooner state', 'fortysixth state', 'religion in oklahoma', 'culture of oklahoma', '46th state', 'oklahoma us state', 'oklahoma usa', 'state of oklahoma', 'list of oklahoma state symbols', 'oaklahoma', 'oklaholma', 'transportation in oklahoma', 'usok', 'sports in oklahoma', 'okla', 'oklahoman', 'oclahoma', 'education in oklahoma', 'energy in oklahoma', 'transport in oklahoma', 'fortysixth state', 'oklahoma state', 'the sooner state']"
216,What writer was expelled from West Point for showing up for a public parade wearing only a white belt and gloves?,"['Edgar alen poe' 'Edgar Allan Poe' 'Ea poe' 'Edgar allen poe'
 'Edgar Allen Poe' 'The Life of Edgar Allan Poe' 'Poean'
 'Poe, Edgar Allen' 'Edgar A. Poe'
 'Edgar Allan Poe and the Stories He Has Written'
 ""Edgar Allan Poe's literary influence"" 'Edger Allen Poe'
 'Edgar allan poe' 'E.A. Poe' 'Literary influence of Edgar Allan Poe'
 'A Bostonian' 'E A Poe' 'Poesque' 'Henri Le Rennet' 'Eddy is no more'
 'E. A. Poe' 'EA Poe' 'Edgar Alan Poe' 'Edgar Allan Po' 'Poe'
 ""Edgar Allan Poe's Tales of Mystery and Terror""]",Edgar Allan Poe,edgar allan poe,"['edgar alen poe', 'edgar allan poe', 'ea poe', 'edgar allen poe', 'edgar allen poe', 'the life of edgar allan poe', 'poean', 'poe edgar allen', 'edgar a poe', 'edgar allan poe and the stories he has written', 'edgar allan poes literary influence', 'edger allen poe', 'edgar allan poe', 'ea poe', 'literary influence of edgar allan poe', 'a bostonian', 'e a poe', 'poesque', 'henri le rennet', 'eddy is no more', 'e a poe', 'ea poe', 'edgar alan poe', 'edgar allan po', 'poe', 'edgar allan poes tales of mystery and terror']"
217,"""What couple live next door to Dagwood and Blondie Bumstead in """"Blondie""""?""",['Herb and Tootsie Woodley'],Herb and Tootsie Woodley,herb and tootsie woodley,['herb and tootsie woodley']
218,Who was the Lone Ranger's great grand-nephew?,"['Green Hornet (film)' 'Green Hornet, The' 'Green Hornet' 'Brit Reid'
 'Green Hornet (comics)' 'The green hornet' 'The Green Hornet'
 'Britt Reid']",The Green Hornet,the green hornet,"['green hornet film', 'green hornet the', 'green hornet', 'brit reid', 'green hornet comics', 'the green hornet', 'the green hornet', 'britt reid']"
219,"""Psychologist William Moulton Marston, inventor of the polygraph, or lie detector, also created a famous comic book heroine,. Who was she?""""""","['Wonder-woman' 'Wonder women' 'Wonder Lady'
 'Wonder Woman (undeveloped film)' 'Wonder Woman (comic book)'
 'Wonder-Woman' 'Wonder Woman: Spirit of Truth' 'Wonder Tot'
 'Wonder Woman (movie)' 'Wonderwoman' 'Wonder woman'
 'Princess Diana (comics)' 'WonderWoman' 'Wonder Woman']",Wonder Woman,wonder woman,"['wonderwoman', 'wonder women', 'wonder lady', 'wonder woman undeveloped film', 'wonder woman comic book', 'wonderwoman', 'wonder woman spirit of truth', 'wonder tot', 'wonder woman movie', 'wonderwoman', 'wonder woman', 'princess diana comics', 'wonderwoman', 'wonder woman']"
220,"""""""Last night I dreamt I went to Manderley again,"""" was the first line of what Daphne du Maurier novel?""","['Rifkah' 'Rifko' 'Rifka' 'Rifkoh' 'Ribhqah' 'Rivqah' 'Rebeccah' 'Rebekah'
 'Rivqa' 'Rivko' 'Rivka' 'Rebbecca' 'Rebecca' 'Rivkoh']",Rebecca,rebecca,"['rifkah', 'rifko', 'rifka', 'rifkoh', 'ribhqah', 'rivqah', 'rebeccah', 'rebekah', 'rivqa', 'rivko', 'rivka', 'rebbecca', 'rebecca', 'rivkoh']"
221,"""What is the actual title of Leonardo da Vinci's """"Mona Lisa""""?""",['La Gioconda (disambiguation)' 'La Gioconda' 'La gioconda' 'La Giaconda'],La Gioconda,la gioconda,"['la gioconda disambiguation', 'la gioconda', 'la gioconda', 'la giaconda']"
222,"In Henry Wadsworth Longfellow's famous poem, Hiawatha, what was the name of Hiawatha's wife?",['Minnehaha' 'Minniehaha'],Minnehaha,minnehaha,"['minnehaha', 'minniehaha']"
223,"How many husbands did the Wife of Bath have, as reported in Chaucer's Canterbury Tales?",['five' '5' 'Five'],Five,five,"['five', '5', 'five']"
224,What was the name of the she-ape that rescued the infant Tarzan and raised him to be Lord of the Apes?,"['Kāla' 'Kala' 'Kala (disambiguation)' 'Kala, Mazandaran' 'KALA']",Kala,kala,"['kāla', 'kala', 'kala disambiguation', 'kala mazandaran', 'kala']"
225,What was the title of Mac West's 1959 autobiography?,['Goodness Had Nothing to Do With It'],Goodness Had Nothing to Do With It,goodness had nothing to do with it,['goodness had nothing to do with it']
226,"""What words did Lewis Carroll combine to come up with the term """"chortle"""" in Through a Looking-Glass?""",['Chuckle and snort'],Chuckle and snort,chuckle and snort,['chuckle and snort']
227,"""Shakespeare wrote that """"brevity is the soul of wit."""" What did noted wit Dorothy Parker say it was?""",['The soul of lingerie'],The soul of lingerie,the soul of lingerie,['the soul of lingerie']
228,What is the native country of Agatha Chrisitie's detective Hercule Poirot?,"['Belguim' 'Koenigreich Belgien' 'Belgium/Belgie' 'Kingdom of Belgium'
 'Belgian' 'Beljum' 'Königreich Belgien' 'Belgique' 'Belgium' 'Beligum'
 'Kingdom of the Belgians' 'Beljam' 'Kingdom Of Belgium' 'Belgum'
 'ISO 3166-1:BE' 'Belgie' 'Cockpit of Europe' 'Koninkrijk België'
 'Beldjike' 'Blegium' 'Belgio' 'The Quebec of Europe' 'België' 'Begium'
 'Royaume de Belgique' 'Konigreich Belgien' 'Koninkrijk Belgie'
 'People of Belgium' 'Belgien' 'Belgium/facts'
 'Administrative divisions of Belgium' 'Belgium facts']",Belgium,belgium,"['belguim', 'koenigreich belgien', 'belgiumbelgie', 'kingdom of belgium', 'belgian', 'beljum', 'königreich belgien', 'belgique', 'belgium', 'beligum', 'kingdom of the belgians', 'beljam', 'kingdom of belgium', 'belgum', 'iso 31661be', 'belgie', 'cockpit of europe', 'koninkrijk belgië', 'beldjike', 'blegium', 'belgio', 'the quebec of europe', 'belgië', 'begium', 'royaume de belgique', 'konigreich belgien', 'koninkrijk belgie', 'people of belgium', 'belgien', 'belgiumfacts', 'administrative divisions of belgium', 'belgium facts']"
229,What was the hometown of Sgt. Snorkel in Beetle Bailey?,"['Pork Corners, Kansas']","Pork Corners, Kansas",pork corners kansas,['pork corners kansas']
230,"In the Robin Hood stories, what was the real name of Little John?",['John Little' 'John Little (disambiguation)'],John Little,john little,"['john little', 'john little disambiguation']"
231,The Last Of The Really Great Whangdoodles and Mandy are children's books written by what well-known Oscar-winning actress?,"['Julia Elizabeth Wells' 'Julie Elizabeth Andrews, DBE'
 'Julie Andrews Edwards' 'Julie Wells' 'Julie Elizabeth Wells'
 'Julie Elizabeth Andrews' 'Dame Julie Andrews'
 'Julie Elizabeth Andrews DBE' 'Julie andrews' 'Julie Andrews']",Julie Andrews,julie andrews,"['julia elizabeth wells', 'julie elizabeth andrews dbe', 'julie andrews edwards', 'julie wells', 'julie elizabeth wells', 'julie elizabeth andrews', 'dame julie andrews', 'julie elizabeth andrews dbe', 'julie andrews', 'julie andrews']"
232,By what pseudonym is writer Frederick Dannay Manfred Bennington Lee better known?,"['Manfred B. Lee' 'Frederic Dannay' 'Manfred Bennington Lee' 'Manfred Lee'
 'Barnaby Ross' 'Pseud. Ellery Queen' 'Lee, Manfred Bennington'
 'Dannay, Frederic' 'Ellery Queen']",Ellery Queen,ellery queen,"['manfred b lee', 'frederic dannay', 'manfred bennington lee', 'manfred lee', 'barnaby ross', 'pseud ellery queen', 'lee manfred bennington', 'dannay frederic', 'ellery queen']"
233,How many times did Ernest Hemingway revise the last page of A Farewell To Arms?,['39 times'],39 times,39 times,['39 times']
234,What was art-world guru Andy Warhol's name at birth?,"['Andy Warhaul' 'Warhol' 'Warholian Pop' 'Andy Warhola' 'Andrew warhola'
 'Andy Warhol Foundation for the Visual Arts' 'Warholite' 'Andy warhol'
 'Drella' 'Andrew Warhol' 'Andy Wahrol' 'Andy worhol' 'Andrew Warhola'
 'Andy Warhol Foundation' 'Warholesque' 'Warholian' 'Warhol Foundation'
 'Andy Warhol' 'Paul Warhola']",Andrew Warhola,andrew warhola,"['andy warhaul', 'warhol', 'warholian pop', 'andy warhola', 'andrew warhola', 'andy warhol foundation for the visual arts', 'warholite', 'andy warhol', 'drella', 'andrew warhol', 'andy wahrol', 'andy worhol', 'andrew warhola', 'andy warhol foundation', 'warholesque', 'warholian', 'warhol foundation', 'andy warhol', 'paul warhola']"
235,"What was the maiden name of Blondie Bumstead, the comic-strip wife of hapless Dagwood Bumstead?",['Boopadoop'],Boopadoop,boopadoop,['boopadoop']
236,What famous comic strip character was inspired by the 1936 Henry Fonda film Trail of the Lonesome Pine?,"[""Al Capp's Li'l Abner""]",Al Capp's Li'l Abner,al capps lil abner,['al capps lil abner']
237,What was the original name of the orphan created in 1924 by cartoonist Harold Gray in the comic strip we know as Little Orphan Annie?,['Otto' 'Oddo'],Otto,otto,"['otto', 'oddo']"
238,What was the name of Elizabeth Barrett Browning's pet golden cocker spaniel ?,['Flush (disambiguation)' 'Flush (song)' 'Flush'],Flush,flush,"['flush disambiguation', 'flush song', 'flush']"
239,The title of what poetic drama by Robert Browning was used to name a Kentucky town?,['Pipa Passes' 'Song from Pippa Passes' 'Pippa Passes'],Pippa Passes,pippa passes,"['pipa passes', 'song from pippa passes', 'pippa passes']"
240,"What did L. Fran Baum, author of the The Wonderful Wizard of Oz, call his home in Hollywood?",['Ozcot'],Ozcot,ozcot,['ozcot']
241,What exotic city was featured in National Geographic magazine's first photo story in 1905?,"['Lhasa' 'Lhasa, Tibet' '拉萨' 'Administrative divisions of Lhasa' 'Lahasa'
 'Lhosa' '拉萨市' '拉薩' 'Capital of Tibet' 'Lasa, Xizang' 'Lhasa, Xizang'
 '拉薩市' 'Chengguan District, Lhasa' 'Lhassa' 'Dharkay Restaurant' 'Lāsà']","Lhasa, Tibet",lhasa tibet,"['lhasa', 'lhasa tibet', '拉萨', 'administrative divisions of lhasa', 'lahasa', 'lhosa', '拉萨市', '拉薩', 'capital of tibet', 'lasa xizang', 'lhasa xizang', '拉薩市', 'chengguan district lhasa', 'lhassa', 'dharkay restaurant', 'lāsà']"
242,How much time did Jonah spend in the belly of the whale?,['Three days and three nights'],Three days and three nights,three days and three nights,['three days and three nights']
243,For what event in February 1964 did evangelist Billy Graham break his strict rule against watching TV on Sunday?,"[""The Beatles' first appearance on The Ed Sullivan Show""]",The Beatles' first appearance on The Ed Sullivan Show,the beatles first appearance on the ed sullivan show,['the beatles first appearance on the ed sullivan show']
244,"How tall was Goliath, the Philistine giant slain by David with a stone hurled from a sling?","['Six cubits and a span,']","Six cubits and a span,",six cubits and a span,['six cubits and a span']
245,"""In the Bible, for what """"price"""" did Esau sell his birthright to his younger twin brother, Jacob?""",['Pottage of lentils (Genesis 25:29-34)'],Pottage of lentils (Genesis 25:29-34),pottage of lentils genesis 252934,['pottage of lentils genesis 252934']
246,What bird is named for the apostle Peter?,"['The petrel, from a diminutive form of Petrus, or Peter, in Latin']","The petrel, from a diminutive form of Petrus, or Peter, in Latin",the petrel from a diminutive form of petrus or peter in latin,['the petrel from a diminutive form of petrus or peter in latin']
247,Who is the only woman whose age is mentioned in the Bible?,"['Sarah' 'Matriarch Sarah' 'سارة' 'Sarah (Bible)' 'Soroh'
 'Islamic view of Sarah' 'Śārāh' 'Sarah in rabbinic literature'
 'Sarah in Islam']",Sarah,sarah,"['sarah', 'matriarch sarah', 'سارة', 'sarah bible', 'soroh', 'islamic view of sarah', 'śārāh', 'sarah in rabbinic literature', 'sarah in islam']"
248,What is the most common name in the Bible--shared by 32 people in the Old Testament and one in the New Testament?,"['Zecharyah' 'Zachery' 'Zakarias' 'Zakharia' 'Sakarias' 'Zacharius'
 'Zackariah' 'זְכַרְיָה' 'Zacherie' 'Zekharyah' 'Zacharias, Saint'
 'Zcharya' ""Z'charyah"" 'Zecharias' 'Zechariah' 'Saint Zacharias'
 ""Z'charya"" 'Zecharia' 'Zacheriah' 'Zakary' 'St Zacharias' 'Zacharias'
 'Zacarias' 'Zecharya' 'Zeebariah' 'Zechariah (disambiguation)' 'Zcharyah'
 'Zacharia' 'Zachariah']",Zechariah,zechariah,"['zecharyah', 'zachery', 'zakarias', 'zakharia', 'sakarias', 'zacharius', 'zackariah', 'זכריה', 'zacherie', 'zekharyah', 'zacharias saint', 'zcharya', 'zcharyah', 'zecharias', 'zechariah', 'saint zacharias', 'zcharya', 'zecharia', 'zacheriah', 'zakary', 'st zacharias', 'zacharias', 'zacarias', 'zecharya', 'zeebariah', 'zechariah disambiguation', 'zcharyah', 'zacharia', 'zachariah']"
249,In what language was the New Testament originally written?,['In Greek'],In Greek,in greek,['in greek']
